block,street_name,lat,long,town
41,BEDOK STH RD,1.32094579481791,103.94035089457701,BEDOK
42,BEDOK STH RD,1.32147847826863,103.94072104691799,BEDOK
53,NEW UPP CHANGI RD,1.32432684067536,103.942429994179,BEDOK
51,NEW UPP CHANGI RD,1.32342985805209,103.94226940711599,BEDOK
8,BEDOK STH AVE 2,1.3228417697843502,103.93604681506201,BEDOK
718,BEDOK RESERVOIR RD,1.33663059937652,103.92574851611,BEDOK
724,BEDOK RESERVOIR RD,1.3371440397913799,103.92843383028601,BEDOK
166,BEDOK STH AVE 3,1.32004079860247,103.945196685812,BEDOK
71,BEDOK STH RD,1.3204160173661998,103.942732310081,BEDOK
82,BEDOK NTH RD,1.32953680475671,103.940406562732,BEDOK
78,BEDOK NTH RD,1.32726007220344,103.940848770214,BEDOK
79,BEDOK NTH RD,1.3276919447005602,103.940763685492,BEDOK
80,BEDOK NTH RD,1.32848132017237,103.94061160883699,BEDOK
134,BEDOK NTH ST 2,1.32832133313257,103.93658216345,BEDOK
126,BEDOK NTH ST 2,1.32816830003973,103.938917890645,BEDOK
130,BEDOK NTH ST 2,1.3271615077195,103.936824833587,BEDOK
132,BEDOK NTH ST 2,1.32775288998397,103.936709340476,BEDOK
131,BEDOK NTH AVE 3,1.3269699402053,103.93585007621999,BEDOK
133,BEDOK NTH AVE 3,1.3275625723030902,103.93573462699,BEDOK
121,BEDOK NTH RD,1.32972899579618,103.93808127339399,BEDOK
89,BEDOK NTH ST 4,1.3323346834926202,103.938051284737,BEDOK
62,NEW UPP CHANGI RD,1.3233266740053702,103.940030188552,BEDOK
422,BEDOK NTH RD,1.32834237572681,103.928230985895,BEDOK
427,BEDOK NTH RD,1.32910888380158,103.92773420389,BEDOK
507,BEDOK NTH AVE 3,1.3329807167721102,103.93259903289,BEDOK
508,BEDOK NTH AVE 3,1.33340012199513,103.932519441614,BEDOK
517,BEDOK NTH AVE 2,1.33108906602957,103.929204536012,BEDOK
95,BEDOK NTH AVE 4,1.3338699944998602,103.94205674836,BEDOK
93,BEDOK NTH AVE 4,1.33288899931348,103.94130973433799,BEDOK
43,CHAI CHEE ST,1.32834668503079,103.92565481037701,BEDOK
404,BEDOK NTH AVE 3,1.32937492395035,103.93392693908702,BEDOK
403,BEDOK NTH AVE 3,1.3297998474985802,103.933844368582,BEDOK
543,BEDOK NTH ST 3,1.33033659434826,103.92322354414499,BEDOK
547,BEDOK NTH ST 3,1.3303311362820702,103.92543207287201,BEDOK
708,BEDOK NTH RD,1.33503645745879,103.919311961318,BEDOK
707,BEDOK NTH RD,1.33546649823113,103.919288377804,BEDOK
622,BEDOK RESERVOIR RD,1.33406075035512,103.916898741089,BEDOK
713,BEDOK RESERVOIR RD,1.33631180600308,103.922392167199,BEDOK
609,BEDOK RESERVOIR RD,1.33183921459219,103.912364855077,BEDOK
