resale_price,floor_area_sqm,price_per_sqm,storey_range,,region,storey,no_4_s,no_8_s,unit,no_4_u,no_8_,total_4,total_8
462500,112,4129.464286,22 TO 24,404,OCR,23,0,0,404,2,0,2,0
280000,67,4179.104478,04 TO 06,425,OCR,5,0,0,425,1,0,1,0
385000,84,4583.333333,07 TO 09,837,OCR,8,0,1,837,0,1,0,2
502500,121,4152.892562,04 TO 06,233,OCR,5,0,0,233,0,0,0,0
438000,93,4709.677419,04 TO 06,619,OCR,5,0,0,619,0,0,0,0
320000,59,5423.728814,01 TO 03,32,RCR,2,0,0,32,0,0,0,0
300000,101,2970.29703,01 TO 03,657,OCR,2,0,0,657,0,0,0,0
333000,74,4500,07 TO 09,450,OCR,8,0,1,450,1,0,1,1
375000,91,4120.879121,10 TO 12,605,OCR,11,0,0,605,0,0,0,0
373000,110,3390.909091,13 TO 15,691,OCR,14,1,0,691,0,0,1,0
470000,104,4519.230769,13 TO 15,902,OCR,14,1,0,902,0,0,1,0
305000,84,3630.952381,07 TO 09,420,OCR,8,0,1,420,1,0,1,1
565000,130,4346.153846,07 TO 09,653,OCR,8,0,1,653,0,0,0,1
328000,72,4555.555556,10 TO 12,161,RCR,11,0,0,161,0,0,0,0
400000,92,4347.826087,10 TO 12,209,OCR,11,0,0,209,0,0,0,0
242000,46,5260.869565,19 TO 21,463,OCR,20,0,0,463,1,0,1,0
276800,67,4131.343284,04 TO 06,736,OCR,5,0,0,736,0,0,0,0
500000,60,8333.333333,13 TO 15,16,RCR,14,1,0,16,0,0,1,0
497000,131,3793.89313,13 TO 15,786,OCR,14,1,0,786,0,1,1,1
376888,104,3623.923077,07 TO 09,871,OCR,8,0,1,871,0,1,0,2
420000,72,5833.333333,07 TO 09,3,RCR,8,0,1,3,0,0,0,1
250000,45,5555.555556,07 TO 09,299,OCR,8,0,1,299,0,0,0,1
395000,94,4202.12766,13 TO 15,116,OCR,14,1,0,116,0,0,1,0
430000,111,3873.873874,13 TO 15,106,OCR,14,1,0,106,0,0,1,0
330000,85,3882.352941,16 TO 18,161,RCR,17,0,0,161,0,0,0,0
378000,87,4344.827586,04 TO 06,204,OCR,5,0,0,204,1,0,1,0
345000,85,4058.823529,16 TO 18,618,OCR,17,0,0,618,0,1,0,1
386000,107,3607.476636,10 TO 12,314,OCR,11,0,0,314,1,0,1,0
585000,124,4717.741935,10 TO 12,649,OCR,11,0,0,649,1,0,1,0
